,peakBase,scanNumber,absIntensityUnSub,TIC*IT,ftRes,peakNoiseUnSub,integTime,peakRes,massUnSub,retTime,tic,countsUnSub,sumAbsIntensity,absIntensity15N,peakNoise15N,mass15N,counts15N,absIntensity13C,peakNoise13C,mass13C,counts13C,15N/UnSub,13C/UnSub,15N/13C
1012,4819.72,1109.0,2740000000.0,788800.0,120000.0,695226.4,0.06,162007.0,156.0265,9.92,13100000000.0,17341.113628596384,2749396572.0,8176199.0,695988.9,157.0235,51.68943872524404,114000000.0,695993.7,157.0298,720.6961787154108,0.0029807450566499668,0.04155997095405372,0.0717215384954264
1013,2807.32,1110.0,2740000000.0,791611.0,120000.0,638916.6,0.06,161102.0,156.0264,9.92,13200000000.0,18869.442428010167,2749486201.0,7698440.0,640956.9,157.0235,52.847759342320835,105000000.0,640969.8,157.0298,720.7827888303005,0.002800705932034992,0.03819841479578414,0.07331995180973055
1014,8028.54,1111.0,2760000000.0,776781.0,120000.0,682904.5,0.06,160807.0,156.0265,9.93,12900000000.0,17782.867150531296,2773529110.0,11694408.0,684380.4,157.0235,75.1853723455552,111000000.0,684389.7,157.0298,713.6285072671317,0.004227966823859947,0.04013011519606447,0.10535645868952254
1015,4407.39,1112.0,2560000000.0,720228.0,120000.0,648719.1,0.06,164007.0,156.0265,9.93,12000000000.0,17363.44744589762,2571228778.0,9931342.0,651245.0,157.0236,67.09902540518546,104000000.0,651260.8,157.0298,702.6371002216009,0.0038643838220640127,0.040466451285721475,0.09549598987019538
1016,1747.15,1113.0,2810000000.0,784781.0,120000.0,665455.6,0.06,164102.0,156.0265,9.94,13100000000.0,18579.75197744222,2821572659.0,10248338.0,665703.6,157.0236,67.73688350190686,111000000.0,665705.1,157.0298,733.6581918930771,0.0036457366914341258,0.03948697446466538,0.09232757740648086
1017,4851.13,1114.0,2570000000.0,710376.0,120000.0,637827.2,0.06,163602.0,156.0265,9.94,11800000000.0,17728.93975045279,2579926201.0,7872405.0,639620.3,157.0235,54.154913469756984,98285656.0,639631.6,157.0298,676.1030668278429,0.0030546053081585934,0.038135561197932065,0.08009860645040755
1018,-1890.8,1115.0,2490000000.0,722111.0,120000.0,630341.8,0.06,160502.0,156.0265,9.95,12000000000.0,17381.046283143525,2500531653.0,8785164.0,630875.9,157.0236,61.27151409651248,97795224.0,630879.3,157.0299,682.0622987630122,0.0035251913549033454,0.039241728469734845,0.08983272379610259
1019,3797.88,1116.0,2330000000.0,655043.0,120000.0,622774.8,0.06,159502.0,156.0265,9.95,10900000000.0,16461.809308918728,2338937842.0,7322652.0,624368.8,157.0236,51.603585573142034,92629384.0,624378.8,157.0298,652.7596542355378,0.0031347456773894284,0.03965297143138961,0.07905449615077115
1020,2306.36,1117.0,2100000000.0,601478.0,120000.0,620840.8,0.06,160202.0,156.0265,9.95,10000000000.0,14883.042480455537,2108482972.0,6796367.0,621945.8,157.0235,48.08138394052987,80870448.0,621952.8,157.0298,572.1173233724489,0.0032306152457517007,0.038440884928182886,0.08404112579060788
1021,-3576.31,1118.0,1970000000.0,564477.0,120000.0,586515.8,0.06,161807.0,156.0265,9.96,9410000000.0,14778.800502902053,1977522726.0,5929965.0,587434.6,157.0236,44.41659718375459,82910592.0,587440.3,157.0298,621.0105176645185,0.003005426399458649,0.04202036001112358,0.07152309972268339
